supplier_id,supplier_name,region,reliability_score,payment_terms,max_capacity,item_id,sku,description,commodity_category,unit_weight_kg,moq,baseline_cost_inr,unit_price_inr,lead_time_days,defect_rate_pct,qty_ordered,logistics_cost_inr,cost_per_defect_inr,penalty_per_day_inr
SUP-003,Mahindra CIE Automotive,Maharashtra,89,LC 60 Days at Sight,13756,ITM-005,SKU-STLPIP-GI50,Galvanised Iron Pipe DN50 6m,Ferrous Metals,18,50,3600,3747.94,46,5,50,2899.63,7985.74,163.41
SUP-007,Prakash Industries Ltd,Chhattisgarh,63,Net 30,7040,ITM-011,SKU-ZNCING-SHG,Zinc SHG Ingot 25kg,Non-Ferrous Metals,25,200,24500,26374.56,43,7.8366,200,34788.37,15491.95,7594.04
SUP-030,Lakshmi Machine Works,Tamil Nadu,83,Cash Against Documents,5763,ITM-039,SKU-VBELT-B68,Classical V-Belt B68,Conveyor & Drive,0.3,200,240,240.54,27,4.7621,351,2898.85,465.39,71.75
SUP-051,Bosch Ltd (India),Karnataka,87,Net 15,308,ITM-006,SKU-STLANG-MS,MS Equal Angle 50×50×6,Ferrous Metals,45,25,8200,8444.14,44,2.7499,52,23147.1,16725.81,374.88
SUP-001,Bharat Forge Ltd,Maharashtra,79,LC 90 Days,1657,ITM-010,SKU-BRASRD-C360,Free-Cutting Brass Rod C360,Non-Ferrous Metals,3,200,68000,71518.72,35,2.7424,206,2851.46,74434.79,12349.72
SUP-031,Endurance Technologies,Maharashtra,74,Cash on Delivery,1596,ITM-004,SKU-STLBAR-SS316,Stainless Steel Bar 316L,Ferrous Metals,130,5,210000,207437.5,23,4.9262,5,2565.25,551397.57,1704.13
SUP-059,Elgi Equipments Ltd,Tamil Nadu,85,LC 90 Days,5248,ITM-011,SKU-ZNCING-SHG,Zinc SHG Ingot 25kg,Non-Ferrous Metals,25,200,24500,27488.48,20,4.5792,350,90740.75,58851.52,12940.78
SUP-003,Mahindra CIE Automotive,Maharashtra,89,LC 60 Days at Sight,13756,ITM-022,SKU-COMPOL-VG100,Compressor Oil VG100 50L,Lubricants & Fluids,47,20,7600,7652.2,23,2.3758,20,3007.35,15886.32,144.52
SUP-015,Man Industries India Ltd,Gujarat,80,Net 90,12443,ITM-008,SKU-ALUING-6061,Aluminium Ingot 6061-T6,Non-Ferrous Metals,25,100,215000,228982.42,17,7.993,100,6335.68,161824.56,37345.44
SUP-057,Finolex Industries Ltd,Maharashtra,71,Net 45,3106,ITM-003,SKU-STLPL-MS16,Mild Steel Plate 16mm,Ferrous Metals,600,10,51000,53122.42,34,4.8421,17,6365.38,210855.45,1243.74
SUP-036,Suprajit Engineering,Karnataka,74,Cash Against Documents,4355,ITM-039,SKU-VBELT-B68,Classical V-Belt B68,Conveyor & Drive,0.3,200,240,235.25,28,4.6357,520,2281.87,229.63,121.37
SUP-008,Nava Bharat Ventures,Andhra Pradesh,74,LC 60 Days at Sight,9367,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,58244.49,14,4.461,21,198366.12,212895.31,889.69
SUP-006,Jai Balaji Industries,West Bengal,59,Cash Against Documents,5587,ITM-023,SKU-ABWHL-A60,Alumina Grinding Wheel A60 200×25,Abrasives & Tooling,2.8,100,950,1167.8,26,5.431,189,9019.93,1736.63,219.54
SUP-003,Mahindra CIE Automotive,Maharashtra,89,LC 60 Days at Sight,13756,ITM-030,SKU-OILSEAL-TC,TC Rotary Oil Seal 50×70×10,Seals & Gaskets,0.05,500,220,196.6,30,2.6061,500,1714.86,297.53,196.68
SUP-059,Elgi Equipments Ltd,Tamil Nadu,85,LC 90 Days,5248,ITM-016,SKU-BRGSLF-PB,Sintered Bronze Bush 25×30×25,Bearings & Bushings,0.06,1000,185,184.4,22,5,1000,2315.64,256.37,100.08
SUP-025,Tube Investments of India,Tamil Nadu,82,Advance 50% Net 30,7461,ITM-017,SKU-BRGNDL-HK,Needle Roller Bearing HK2520,Bearings & Bushings,0.05,500,320,293.04,11,3.8682,934,3303.53,312.5,531.22
SUP-059,Elgi Equipments Ltd,Tamil Nadu,85,LC 90 Days,5248,ITM-038,SKU-CONVBL-EP300,EP300/3 Rubber Conveyor Belt 1m×1m,Conveyor & Drive,28,10,18500,17479.96,16,4.8605,10,3685.13,29953.8,215.48
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-016,SKU-BRGSLF-PB,Sintered Bronze Bush 25×30×25,Bearings & Bushings,0.06,1000,185,179.33,27,6.6024,1000,2178.66,347.87,267.69
SUP-039,Castrol India Ltd,Maharashtra,74,Net 90,9230,ITM-009,SKU-COPCAT-EF,Electrolytic Copper Cathode,Non-Ferrous Metals,25,50,785000,854947.29,23,4.3128,108,3797.03,1636573.39,46229.37
SUP-005,Kalyani Steels Ltd,Maharashtra,85,Net 15,2740,ITM-010,SKU-BRASRD-C360,Free-Cutting Brass Rod C360,Non-Ferrous Metals,3,200,68000,67727.96,16,4.6381,220,2560.15,105472.45,40520.85
SUP-056,Welspun India Ltd,Gujarat,74,LC 60 Days at Sight,8618,ITM-006,SKU-STLANG-MS,MS Equal Angle 50×50×6,Ferrous Metals,45,25,8200,8057.66,13,4.9998,25,5221.31,7512.98,267.33
SUP-038,Kennametal India Ltd,Karnataka,87,Cash Against Documents,5208,ITM-020,SKU-LUBGRSE-EP2,EP2 Grease 180kg Drum,Lubricants & Fluids,180,5,11800,12566.54,11,2.7498,5,8413.24,17035.11,79.02
SUP-007,Prakash Industries Ltd,Chhattisgarh,63,Net 30,7040,ITM-002,SKU-STLCL-CR,Cold-Rolled Steel Coil 1.5mm,Ferrous Metals,820,15,62000,60143.69,15,2.848,44,267902.46,96712.45,2307.64
SUP-058,Thermax Ltd,Maharashtra,82,Net 60,2281,ITM-017,SKU-BRGNDL-HK,Needle Roller Bearing HK2520,Bearings & Bushings,0.05,500,320,292.52,17,4.322,1366,1220.93,358.4,187.16
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-002,SKU-STLCL-CR,Cold-Rolled Steel Coil 1.5mm,Ferrous Metals,820,15,62000,59838.91,16,8,15,12906.19,328850.76,899.56
SUP-008,Nava Bharat Ventures,Andhra Pradesh,74,LC 60 Days at Sight,9367,ITM-018,SKU-LUBIND-VG46,Industrial Gear Oil VG46 200L,Lubricants & Fluids,185,10,14500,14607.32,21,3.5759,59,112629.71,32015.97,1078.54
SUP-015,Man Industries India Ltd,Gujarat,80,Net 90,12443,ITM-040,SKU-SPRKT-12B,Simplex Sprocket 12B-1 Z=19,Conveyor & Drive,0.8,100,680,650.67,25,7.8599,436,3600.17,405.71,471.11
SUP-022,Schaeffler India Ltd,Gujarat,81,Net 90,13368,ITM-035,SKU-WELWIR-ER70,ER70S-6 MIG Welding Wire 15kg,Welding Consumables,15,50,5600,6618.12,10,2.3338,50,3008.22,11187.38,548.59
SUP-027,National Engineering Industries,Rajasthan,73,Net 15,4957,ITM-034,SKU-FASTNR-STUD,M16 Stud Bolt B7/2H Set (10pcs),Fasteners,1.8,100,640,659.32,16,0.7035,100,2638.91,1174.82,117.42
SUP-032,Precision Camshafts Ltd,Maharashtra,75,Advance 50% Net 30,10320,ITM-006,SKU-STLANG-MS,MS Equal Angle 50×50×6,Ferrous Metals,45,25,8200,7652.49,20,4.4303,103,3985.89,7863.64,945.98
SUP-035,Jyoti CNC Automation,Gujarat,81,Net 60,10394,ITM-011,SKU-ZNCING-SHG,Zinc SHG Ingot 25kg,Non-Ferrous Metals,25,200,24500,25531.12,22,4.8104,215,7251.44,43923.09,7943.79
SUP-001,Bharat Forge Ltd,Maharashtra,79,LC 90 Days,1657,ITM-009,SKU-COPCAT-EF,Electrolytic Copper Cathode,Non-Ferrous Metals,25,50,785000,859606.86,11,2.3963,52,2315.94,1692804.99,80926.48
SUP-002,Ramkrishna Forgings Ltd,Jharkhand,64,Net 60,4849,ITM-002,SKU-STLCL-CR,Cold-Rolled Steel Coil 1.5mm,Ferrous Metals,820,15,62000,63086.32,10,2.0137,16,67029.45,129319.47,760.89
SUP-033,Minda Industries Ltd,Haryana,67,Net 45,1557,ITM-038,SKU-CONVBL-EP300,EP300/3 Rubber Conveyor Belt 1m×1m,Conveyor & Drive,28,10,18500,18737.31,8,4.1796,31,13241.94,36054.92,262.69
SUP-050,Wendt India Ltd,Tamil Nadu,79,Net 15,12930,ITM-033,SKU-FASTNR-M20,M20×80 Hex Bolt 10.9 HDG (50pcs),Fasteners,3.2,200,820,848.68,37,3.1918,200,4408.03,1395.17,157.21
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-008,SKU-ALUING-6061,Aluminium Ingot 6061-T6,Non-Ferrous Metals,25,100,215000,194504.35,20,4.9224,100,3143.5,330007.98,31012.73
SUP-054,Nalco India Ltd,Odisha,69,LC 60 Days at Sight,12089,ITM-006,SKU-STLANG-MS,MS Equal Angle 50×50×6,Ferrous Metals,45,25,8200,8719.46,19,4.776,74,28715.93,19169.93,506.18
SUP-056,Welspun India Ltd,Gujarat,74,LC 60 Days at Sight,8618,ITM-015,SKU-BRGTPR-32210,Tapered Roller Bearing 32210,Bearings & Bushings,1.4,150,3800,3786.61,25,2.1953,162,1151.1,6701.94,385.98
SUP-028,Rane Holdings Ltd,Tamil Nadu,75,LC 90 Days,3016,ITM-039,SKU-VBELT-B68,Classical V-Belt B68,Conveyor & Drive,0.3,200,240,234.02,11,4.5921,200,1574.11,223.65,49.38
SUP-057,Finolex Industries Ltd,Maharashtra,71,Net 45,3106,ITM-013,SKU-BRGBL-6308,Deep Groove Ball Bearing 6308-ZZ,Bearings & Bushings,0.4,300,890,949.39,26,3.9229,334,1365.28,1639.43,292.03
SUP-021,SKF India Ltd,Maharashtra,93,Advance 50% Net 30,14554,ITM-038,SKU-CONVBL-EP300,EP300/3 Rubber Conveyor Belt 1m×1m,Conveyor & Drive,28,10,18500,18421.74,29,2.3278,18,3276.55,36268.72,278.97
SUP-002,Ramkrishna Forgings Ltd,Jharkhand,64,Net 60,4849,ITM-038,SKU-CONVBL-EP300,EP300/3 Rubber Conveyor Belt 1m×1m,Conveyor & Drive,28,10,18500,18775.08,19,4.8947,20,4097.84,29114.11,857.24
SUP-049,Carborundum Universal Ltd,Tamil Nadu,67,Net 60,2704,ITM-003,SKU-STLPL-MS16,Mild Steel Plate 16mm,Ferrous Metals,600,10,51000,49328.55,19,4.9655,10,54731.13,156081.88,1007.18
SUP-041,Tide Water Oil Co,West Bengal,72,Advance 30% Net 60,8531,ITM-036,SKU-WELELE-E7018,E7018 Welding Electrode 5kg Pack,Welding Consumables,5,100,1950,1867.39,25,4.6438,215,9461.67,1713.72,949.92
SUP-009,Tata Steel Ltd,Jharkhand,98,Net 30,7468,ITM-016,SKU-BRGSLF-PB,Sintered Bronze Bush 25×30×25,Bearings & Bushings,0.06,1000,185,195.59,25,2.74,1935,2647.19,130.03,492.5
SUP-042,Indian Oil Tanking Ltd,Gujarat,78,Advance 30% Net 60,6231,ITM-028,SKU-RBBRSH-NBR,NBR O-Ring Seal Kit Assorted 100pcs,Seals & Gaskets,0.02,1000,95,95.29,69,4.7689,1746,1189.7,77.32,166.02
SUP-010,JSW Steel Ltd,Karnataka,87,LC 90 Days,368,ITM-005,SKU-STLPIP-GI50,Galvanised Iron Pipe DN50 6m,Ferrous Metals,18,50,3600,3824.85,17,2.7469,92,13321.48,5596.1,234.36
SUP-018,Mesco Steels Ltd,Odisha,60,LC 60 Days at Sight,12166,ITM-021,SKU-CUTFL-SOL,Soluble Cutting Fluid Concentrate 25L,Lubricants & Fluids,24,50,4200,4592.36,29,4.9382,85,22689.39,8012.24,184.74
SUP-034,Grindwell Norton Ltd,Maharashtra,65,Net 30,10533,ITM-005,SKU-STLPIP-GI50,Galvanised Iron Pipe DN50 6m,Ferrous Metals,18,50,3600,2960.37,10,4.7641,156,4523.86,3577.15,225.17
SUP-025,Tube Investments of India,Tamil Nadu,82,Advance 50% Net 30,7461,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,55779.41,16,1.9653,68,525894.92,224157.52,4305.39
SUP-011,SAIL (Steel Authority of India),Delhi,74,Advance 50% Net 30,1273,ITM-014,SKU-BRGRL-NU210,Cylindrical Roller Bearing NU210,Bearings & Bushings,0.9,200,2100,1873.68,11,3.7733,200,4169.05,1554.63,267.26
SUP-040,Gulf Oil Lubricants India,Maharashtra,68,Cash Against Documents,7726,ITM-033,SKU-FASTNR-M20,M20×80 Hex Bolt 10.9 HDG (50pcs),Fasteners,3.2,200,820,728.81,25,4.6669,226,3345.73,517.3,319.15
SUP-022,Schaeffler India Ltd,Gujarat,81,Net 90,13368,ITM-017,SKU-BRGNDL-HK,Needle Roller Bearing HK2520,Bearings & Bushings,0.05,500,320,338.32,6,1.4268,2853,750,328.15,1183.52
SUP-062,WPIL Ltd,West Bengal,63,Cash on Delivery,8372,ITM-008,SKU-ALUING-6061,Aluminium Ingot 6061-T6,Non-Ferrous Metals,25,100,215000,187447.47,24,4.3467,206,59066.85,167962.24,29952.02
SUP-031,Endurance Technologies,Maharashtra,74,Cash on Delivery,1596,ITM-029,SKU-GASK-PTFE3,PTFE Sheet Gasket 3mm 500×500,Seals & Gaskets,1.2,50,1450,1474.93,27,4.131,50,962.9,2041.23,72.88
SUP-018,Mesco Steels Ltd,Odisha,60,LC 60 Days at Sight,12166,ITM-014,SKU-BRGRL-NU210,Cylindrical Roller Bearing NU210,Bearings & Bushings,0.9,200,2100,1557.95,17,1.341,767,9402.37,873.82,2122.2
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,56248.18,30,8,20,12728.41,94924.87,1603.11
SUP-006,Jai Balaji Industries,West Bengal,59,Cash Against Documents,5587,ITM-022,SKU-COMPOL-VG100,Compressor Oil VG100 50L,Lubricants & Fluids,47,20,7600,7680.21,22,8,108,38270.18,4201.38,857.3
SUP-002,Ramkrishna Forgings Ltd,Jharkhand,64,Net 60,4849,ITM-040,SKU-SPRKT-12B,Simplex Sprocket 12B-1 Z=19,Conveyor & Drive,0.8,100,680,731.22,35,3.1409,100,3483.6,966.9,72.88
SUP-022,Schaeffler India Ltd,Gujarat,81,Net 90,13368,ITM-034,SKU-FASTNR-STUD,M16 Stud Bolt B7/2H Set (10pcs),Fasteners,1.8,100,640,746.9,17,2.7193,112,2859.22,1637.81,48.75
SUP-026,ABC Bearings Ltd,Gujarat,87,Net 45,13504,ITM-012,SKU-BRGBL-6205,Deep Groove Ball Bearing 6205-2RS,Bearings & Bushings,0.1,500,420,422.63,8,4.7942,500,883.9,440.31,234.52
SUP-029,Sundaram Fasteners Ltd,Tamil Nadu,78,Cash on Delivery,12245,ITM-013,SKU-BRGBL-6308,Deep Groove Ball Bearing 6308-ZZ,Bearings & Bushings,0.4,300,890,1008.97,9,2.6024,300,2714.8,622.15,276.56
SUP-027,National Engineering Industries,Rajasthan,73,Net 15,4957,ITM-012,SKU-BRGBL-6205,Deep Groove Ball Bearing 6205-2RS,Bearings & Bushings,0.1,500,420,427.54,18,4.2542,2021,2396.65,377.59,1033.14
SUP-052,Parker Hannifin India,Maharashtra,91,Net 60,7017,ITM-035,SKU-WELWIR-ER70,ER70S-6 MIG Welding Wire 15kg,Welding Consumables,15,50,5600,5810.44,11,2.7498,54,1257.38,7649.35,183.04
SUP-016,Maharashtra Seamless Ltd,Maharashtra,73,LC 90 Days,13162,ITM-010,SKU-BRASRD-C360,Free-Cutting Brass Rod C360,Non-Ferrous Metals,3,200,68000,65835.61,48,2.9822,635,2254.97,48537.1,22196.06
SUP-047,Aarti Industries Ltd,Gujarat,66,Net 45,14049,ITM-021,SKU-CUTFL-SOL,Soluble Cutting Fluid Concentrate 25L,Lubricants & Fluids,24,50,4200,4574.07,24,3.7976,103,4477.22,8505.87,337.38
SUP-011,SAIL (Steel Authority of India),Delhi,74,Advance 50% Net 30,1273,ITM-018,SKU-LUBIND-VG46,Industrial Gear Oil VG46 200L,Lubricants & Fluids,185,10,14500,16513.48,27,2.5642,11,17942.24,22810.2,183.79
SUP-051,Bosch Ltd (India),Karnataka,87,Net 15,308,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,53690.52,12,2.7468,20,113531.09,167634.51,832.42
SUP-004,Amtek Auto Ltd,Haryana,76,Net 15,2390,ITM-032,SKU-FASTNR-M12,M12×50 Hex Bolt 8.8 Zinc (100pcs),Fasteners,1.1,500,380,386.45,27,7.5748,500,8057.01,676.43,176.49
SUP-009,Tata Steel Ltd,Jharkhand,98,Net 30,7468,ITM-031,SKU-MFGASK-AF,Aramid Fibre Manifold Gasket Set,Seals & Gaskets,0.3,200,780,849.28,30,2.7228,200,3283.23,1437.3,98.46
SUP-008,Nava Bharat Ventures,Andhra Pradesh,74,LC 60 Days at Sight,9367,ITM-012,SKU-BRGBL-6205,Deep Groove Ball Bearing 6205-2RS,Bearings & Bushings,0.1,500,420,386.79,36,4.8333,500,1606.45,552.91,99.32
SUP-023,Timken India Ltd,Maharashtra,88,Net 60,5761,ITM-036,SKU-WELELE-E7018,E7018 Welding Electrode 5kg Pack,Welding Consumables,5,100,1950,1984.75,40,2.6409,457,2108.46,3318.69,1608.7
SUP-055,HPCL Mittal Energy Ltd,Punjab,80,Net 90,4592,ITM-023,SKU-ABWHL-A60,Alumina Grinding Wheel A60 200×25,Abrasives & Tooling,2.8,100,950,980.87,7,4.2385,204,6913.22,1799.41,185.95
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,54493.82,15,6.8939,20,24884.37,70883.92,1067.75
SUP-056,Welspun India Ltd,Gujarat,74,LC 60 Days at Sight,8618,ITM-030,SKU-OILSEAL-TC,TC Rotary Oil Seal 50×70×10,Seals & Gaskets,0.05,500,220,234.8,17,3.6972,500,1254.28,494.24,76.72
SUP-044,Deepak Nitrite Ltd,Gujarat,64,Net 60,5093,ITM-008,SKU-ALUING-6061,Aluminium Ingot 6061-T6,Non-Ferrous Metals,25,100,215000,227292.18,18,3.7018,411,34125.92,487213.73,84924.21
SUP-019,Uttam Galva Steels Ltd,Maharashtra,67,Net 45,1253,ITM-018,SKU-LUBIND-VG46,Industrial Gear Oil VG46 200L,Lubricants & Fluids,185,10,14500,15224.03,21,8,21,2395.65,36038.15,439.7
SUP-052,Parker Hannifin India,Maharashtra,91,Net 60,7017,ITM-007,SKU-STLCHN-G80,Alloy Steel Chain Grade 80 10mm,Ferrous Metals,8,100,4100,4416.1,28,2.738,109,1557.28,2387.43,450.97
SUP-048,NOCIL Ltd,Maharashtra,65,Advance 30% Net 60,413,ITM-008,SKU-ALUING-6061,Aluminium Ingot 6061-T6,Non-Ferrous Metals,25,100,215000,216352.81,20,4.6543,181,3514.98,353503.31,18938.21
SUP-048,NOCIL Ltd,Maharashtra,65,Advance 30% Net 60,413,ITM-030,SKU-OILSEAL-TC,TC Rotary Oil Seal 50×70×10,Seals & Gaskets,0.05,500,220,245.24,25,3.2463,543,1096.76,330.85,163.16
SUP-012,Hindalco Industries Ltd,Maharashtra,95,LC 90 Days,12052,ITM-024,SKU-DRLBIT-TCR10,Tungsten Carbide Drill Bit 10mm,Abrasives & Tooling,0.05,500,280,270.6,8,4.9912,500,2714.36,507.29,260.23
SUP-052,Parker Hannifin India,Maharashtra,91,Net 60,7017,ITM-003,SKU-STLPL-MS16,Mild Steel Plate 16mm,Ferrous Metals,600,10,51000,51661.75,13,2.746,11,5834.47,161448.12,1451.99
SUP-030,Lakshmi Machine Works,Tamil Nadu,83,Cash Against Documents,5763,ITM-035,SKU-WELWIR-ER70,ER70S-6 MIG Welding Wire 15kg,Welding Consumables,15,50,5600,5424.27,12,2.6908,196,35050.8,8552.3,1243.02
SUP-036,Suprajit Engineering,Karnataka,74,Cash Against Documents,4355,ITM-024,SKU-DRLBIT-TCR10,Tungsten Carbide Drill Bit 10mm,Abrasives & Tooling,0.05,500,280,293.28,56,1.3074,1102,1960.04,602.65,378.16
SUP-011,SAIL (Steel Authority of India),Delhi,74,Advance 50% Net 30,1273,ITM-026,SKU-ABPAPER-P120,Abrasive Sheet P120 230×280,Abrasives & Tooling,0.02,2000,42,44.91,33,4.4601,2291,1076.67,93.69,176.34
SUP-013,Vedanta Ltd,Rajasthan,77,Advance 30% Net 60,5374,ITM-002,SKU-STLCL-CR,Cold-Rolled Steel Coil 1.5mm,Ferrous Metals,820,15,62000,58310.19,31,3.3598,15,119350.5,180927.59,718.59
SUP-031,Endurance Technologies,Maharashtra,74,Cash on Delivery,1596,ITM-031,SKU-MFGASK-AF,Aramid Fibre Manifold Gasket Set,Seals & Gaskets,0.3,200,780,748.53,16,1.8721,877,1170.11,1425.4,1052.43
SUP-032,Precision Camshafts Ltd,Maharashtra,75,Advance 50% Net 30,10320,ITM-040,SKU-SPRKT-12B,Simplex Sprocket 12B-1 Z=19,Conveyor & Drive,0.8,100,680,598.74,46,2.7748,221,3139.11,817.81,50.69
SUP-016,Maharashtra Seamless Ltd,Maharashtra,73,LC 90 Days,13162,ITM-010,SKU-BRASRD-C360,Free-Cutting Brass Rod C360,Non-Ferrous Metals,3,200,68000,58328.98,7,4.3556,577,3788.54,101839.29,78562.35
SUP-018,Mesco Steels Ltd,Odisha,60,LC 60 Days at Sight,12166,ITM-021,SKU-CUTFL-SOL,Soluble Cutting Fluid Concentrate 25L,Lubricants & Fluids,24,50,4200,3753.65,20,4.2666,50,15470.71,7062.58,96.66
SUP-006,Jai Balaji Industries,West Bengal,59,Cash Against Documents,5587,ITM-025,SKU-ENDML-TIN12,TiN Coated End Mill 12mm 4-Flute,Abrasives & Tooling,0.08,200,620,712.84,20,6.1213,691,1887.44,1018.04,965.52
SUP-003,Mahindra CIE Automotive,Maharashtra,89,LC 60 Days at Sight,13756,ITM-003,SKU-STLPL-MS16,Mild Steel Plate 16mm,Ferrous Metals,600,10,51000,54001.14,13,4.988,10,9359.6,191354.92,254.96
SUP-059,Elgi Equipments Ltd,Tamil Nadu,85,LC 90 Days,5248,ITM-005,SKU-STLPIP-GI50,Galvanised Iron Pipe DN50 6m,Ferrous Metals,18,50,3600,3653.61,24,4.6201,131,26589.75,4559.48,504.61
SUP-015,Man Industries India Ltd,Gujarat,80,Net 90,12443,ITM-003,SKU-STLPL-MS16,Mild Steel Plate 16mm,Ferrous Metals,600,10,51000,48884.5,21,7.1739,10,17171.89,130642.88,383.15
SUP-028,Rane Holdings Ltd,Tamil Nadu,75,LC 90 Days,3016,ITM-037,SKU-WELFLU-AG,Silver Brazing Flux 500g,Welding Consumables,0.5,200,3100,3057.09,14,2.7894,200,918.49,2912.16,288.67
SUP-040,Gulf Oil Lubricants India,Maharashtra,68,Cash Against Documents,7726,ITM-002,SKU-STLCL-CR,Cold-Rolled Steel Coil 1.5mm,Ferrous Metals,820,15,62000,60100.64,12,4.4324,50,10512.18,147608.79,3136.38
SUP-034,Grindwell Norton Ltd,Maharashtra,65,Net 30,10533,ITM-024,SKU-DRLBIT-TCR10,Tungsten Carbide Drill Bit 10mm,Abrasives & Tooling,0.05,500,280,304.04,13,2.815,500,2172.27,426.68,122.71
SUP-033,Minda Industries Ltd,Haryana,67,Net 45,1557,ITM-022,SKU-COMPOL-VG100,Compressor Oil VG100 50L,Lubricants & Fluids,47,20,7600,7359.23,48,4.9627,43,16088.65,4206.22,497.53
SUP-060,Kirloskar Electric Co,Karnataka,71,Net 90,4409,ITM-034,SKU-FASTNR-STUD,M16 Stud Bolt B7/2H Set (10pcs),Fasteners,1.8,100,640,604.45,22,2.9382,202,4084.94,730.94,105.3
SUP-027,National Engineering Industries,Rajasthan,73,Net 15,4957,ITM-035,SKU-WELWIR-ER70,ER70S-6 MIG Welding Wire 15kg,Welding Consumables,15,50,5600,5288.02,6,4.8967,55,7322,4832.97,296.6
SUP-013,Vedanta Ltd,Rajasthan,77,Advance 30% Net 60,5374,ITM-036,SKU-WELELE-E7018,E7018 Welding Electrode 5kg Pack,Welding Consumables,5,100,1950,2194.64,21,1.9326,398,18545.97,3703.19,1004.29
SUP-036,Suprajit Engineering,Karnataka,74,Cash Against Documents,4355,ITM-032,SKU-FASTNR-M12,M12×50 Hex Bolt 8.8 Zinc (100pcs),Fasteners,1.1,500,380,383.39,26,4.3981,500,6850.21,765.41,323.55
SUP-015,Man Industries India Ltd,Gujarat,80,Net 90,12443,ITM-010,SKU-BRASRD-C360,Free-Cutting Brass Rod C360,Non-Ferrous Metals,3,200,68000,53762.93,19,6.5888,200,2634.37,35279.74,13718.21
SUP-057,Finolex Industries Ltd,Maharashtra,71,Net 45,3106,ITM-001,SKU-STLCL-HR,Hot-Rolled Steel Coil 3mm,Ferrous Metals,850,20,55000,46954.11,16,4.8052,20,16088.05,256612.58,1296.52
